,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Fri May 19 23:37:43 +0000 2017,8.65713E+17,299,1752,Looking forward to Mr. Comey's testimony before the Senate. Understanding his perspective is long overdue. I'm tired of the WH spin.,timkaine,Tim Kaine,Virginia,Democratic
1,Fri May 19 23:08:26 +0000 2017,8.65706E+17,172,1137,".@POTUS must reconsider. Terrible move to further destabilize health insurance, raising rates &amp; reducing options. S… https://t.co/SEnXRe4Nft",timkaine,Tim Kaine,Virginia,Democratic
2,Fri May 19 22:00:05 +0000 2017,8.65689E+17,132,1044,"You can always be candid with your friends!  Pres Trump reassures Russians that ""pressure ...is off"" after firing C… https://t.co/Mc42Pih7EB",timkaine,Tim Kaine,Virginia,Democratic
3,Fri May 19 14:11:53 +0000 2017,8.65571E+17,119,90,Daughter Annella graduating from @nyuniversity with acting honors from Atlantic Acting School 👩🏻‍🎓#ProudDad! https://t.co/Z5XJOfWXWq,timkaine,Tim Kaine,Virginia,Democratic
4,Thu May 18 21:24:07 +0000 2017,8.65317E+17,45,250,"To everyone fighting to #FreeLiliana, we hear you &amp; @MarkWarner &amp; I have reached out to ICE about her case",timkaine,Tim Kaine,Virginia,Democratic
5,Thu May 18 03:02:01 +0000 2017,8.6504E+17,75,851,LGBT rights are human rights. No room for hate against anyone for who they are or whom they love #IDAHOT,timkaine,Tim Kaine,Virginia,Democratic
6,Thu May 18 01:58:06 +0000 2017,8.65024E+17,14,166,#OTD 1954: SCOTUS declared separate is never equal in schools. Remembering organizers of the 1951 Moton walkout &amp; all who led to that ruling,timkaine,Tim Kaine,Virginia,Democratic
7,Thu May 18 00:52:44 +0000 2017,8.65007E+17,333,1793,"🎵 ""You probably think this graduation is about you . . ."" 🎵 https://t.co/PlYXIndNxJ",timkaine,Tim Kaine,Virginia,Democratic
8,Wed May 17 22:23:33 +0000 2017,8.6497E+17,57,505,Good move. Now let’s get some answers. https://t.co/bmoxla9FMc,timkaine,Tim Kaine,Virginia,Democratic
9,Wed May 17 21:56:08 +0000 2017,8.64963E+17,15,96,.@NASA Ed program inspires kids across America to pursue STEM like @Astro_flow! @POTUS wants to cut it; we shouldn't https://t.co/4SRnEr8Txm,timkaine,Tim Kaine,Virginia,Democratic
10,Wed May 17 20:25:12 +0000 2017,8.6494E+17,10,79,Passage by full Senate will mean access to health care and education &amp; I won't stop until these tribes receive the recognition they deserve,timkaine,Tim Kaine,Virginia,Democratic
11,Wed May 17 20:23:49 +0000 2017,8.6494E+17,19,185,Applaud Senate cmte &amp; House passage of our bill to federally recognize 6 VA Indian tribes already recognized by VA https://t.co/iu9GaqHapY,timkaine,Tim Kaine,Virginia,Democratic
12,Wed May 17 19:26:15 +0000 2017,8.64925E+17,4,41,"Almost 300 schools in VA could use the HTC to create safer, modern spaces for students to learn.",timkaine,Tim Kaine,Virginia,Democratic
13,Wed May 17 19:25:16 +0000 2017,8.64925E+17,8,59,Introducing a bill to lift the ban on schools using the Historic Rehabilitation Tax Credit to renovate https://t.co/CA1nPsfSc3,timkaine,Tim Kaine,Virginia,Democratic
14,Wed May 17 18:48:02 +0000 2017,8.64915E+17,16,50,Had a great time chatting with you! #ikainedigit https://t.co/2nkZier3Ej,timkaine,Tim Kaine,Virginia,Democratic
15,Wed May 17 18:10:26 +0000 2017,8.64906E+17,147,2050,America is being reminded of an important lesson: There's no greatness without goodness.,timkaine,Tim Kaine,Virginia,Democratic
16,Wed May 17 14:00:13 +0000 2017,8.64843E+17,125,465,"In this stress test of our American democracy, I predict the institutions will prove stronger than any individual. https://t.co/6bPdsqbcMS",timkaine,Tim Kaine,Virginia,Democratic
17,Wed May 17 13:28:25 +0000 2017,8.64835E+17,13,110,Please keep my colleague @SenThomTillis in your prayers. Wishing him a quick recovery.,timkaine,Tim Kaine,Virginia,Democratic
18,Tue May 16 23:43:11 +0000 2017,8.64627E+17,18,55,Thanks to @JMU alumni and President Alger for the opportunity to discuss cybersecurity and how Congress can make im… https://t.co/AW4YjfIJPu,timkaine,Tim Kaine,Virginia,Democratic
19,Tue May 16 23:21:21 +0000 2017,8.64622E+17,153,735,Reason #98 for a special prosecutor https://t.co/9U8Nk9Wdgx,timkaine,Tim Kaine,Virginia,Democratic
20,Tue May 16 22:41:39 +0000 2017,8.64612E+17,24,123,Introduced legislation with @SenatorTester to make Pell Grants available to dependents of those killed in action in… https://t.co/DlQLzVmSm3,timkaine,Tim Kaine,Virginia,Democratic
21,Tue May 16 22:17:12 +0000 2017,8.64606E+17,17,39,Senate just passed our resolution to establish a new Washington Metrorail Safety Commission https://t.co/eCu2JOCwty https://t.co/qMNYZqBvq6,timkaine,Tim Kaine,Virginia,Democratic
22,Tue May 16 21:50:45 +0000 2017,8.64599E+17,12,82,No challenge is too great for your fighting spirit to overcome! Know you have the love and support of all of your f… https://t.co/oDQiFLpxw7,timkaine,Tim Kaine,Virginia,Democratic
23,Tue May 16 21:22:36 +0000 2017,8.64592E+17,79,319,Very troubling when our close allies lose confidence in us b/c the President hands classified info to an adversary https://t.co/UD740LYDQS,timkaine,Tim Kaine,Virginia,Democratic
24,Tue May 16 18:04:13 +0000 2017,8.64542E+17,107,590,POTUS leak to Russia is just the latest in a long line of rash decisions that make America less safe https://t.co/MrhovEHcwH,timkaine,Tim Kaine,Virginia,Democratic
25,Tue May 16 13:46:39 +0000 2017,8.64477E+17,353,2672,You shared classified intel with our adversary at the likely expense of our allies &amp; intel community. Inexcusable. https://t.co/zJZp5Zr6iD,timkaine,Tim Kaine,Virginia,Democratic
26,Tue May 16 01:30:43 +0000 2017,8.64292E+17,22,66,"Thankful to hear from law enforcement, local leaders, teachers &amp; parents who are working together to prevent gang v… https://t.co/Mi4bwcxyhx",timkaine,Tim Kaine,Virginia,Democratic
27,Mon May 15 22:22:59 +0000 2017,8.64245E+17,418,1818,Shocking actions for any American President but sadly unsurprising coming from President Trump. https://t.co/yPgycqLyda,timkaine,Tim Kaine,Virginia,Democratic
28,Mon May 15 17:09:03 +0000 2017,8.64166E+17,7,54,These programs offer students great opportunities &amp; I'll continue to advocate for expanding CTE programs in Virginia &amp; across the country,timkaine,Tim Kaine,Virginia,Democratic
29,Mon May 15 17:08:17 +0000 2017,8.64166E+17,12,65,"Met with students in the Fire &amp; EMT, Phys Therapy, Dental, Pharmacy &amp; Med assistant programs. Students get dual enr… https://t.co/8CCjOiJKMd",timkaine,Tim Kaine,Virginia,Democratic
30,Mon May 15 17:07:11 +0000 2017,8.64165E+17,5,48,Visited @WestPo_Academy this morning. Awesome CTE program that prepares students for careers in good-paying jobs. https://t.co/2kdkbu8ikp,timkaine,Tim Kaine,Virginia,Democratic
31,Sun May 14 22:47:27 +0000 2017,8.63889E+17,11,53,"Loved spending today with @NOVAcommcollege graduates &amp; students like Darwin, part of the Great Expectations program… https://t.co/79m5QThX4V",timkaine,Tim Kaine,Virginia,Democratic
32,Sun May 14 18:40:18 +0000 2017,8.63826E+17,25,45,About to address @NOVAcommcollege students at commencement. Watch the ceremony live here: https://t.co/9RUU1fxHma,timkaine,Tim Kaine,Virginia,Democratic
33,Sun May 14 13:02:27 +0000 2017,8.63741E+17,35,109,"Happy #MothersDay! Love you, mom https://t.co/cTLdRnENRb",timkaine,Tim Kaine,Virginia,Democratic
34,Sat May 13 13:28:54 +0000 2017,8.63386E+17,25,84,Just arrived at Richmond Coliseum for @VCU commencement! Watch the #VCU2017 ceremony &amp; my speech live: https://t.co/HB6bqeg3qV,timkaine,Tim Kaine,Virginia,Democratic
35,Fri May 12 19:10:10 +0000 2017,8.63109E+17,17,258,"In Virginia, we know no one serves alone. Thank you to all the military spouses for your daily sacrifices. #MilitarySpouseAppreciationDay",timkaine,Tim Kaine,Virginia,Democratic
36,Fri May 12 16:19:28 +0000 2017,8.63066E+17,14,83,Proposed Trump budget cuts threaten economic development in coastal VA communities. Was at @VIMS_News this AM to di… https://t.co/9HS93bsQ8w,timkaine,Tim Kaine,Virginia,Democratic
37,Fri May 12 15:10:50 +0000 2017,8.63049E+17,153,1059,"Sounds like ""something"" the Senate Intel Committee would like to see cc: @SenatorBurr
@MarkWarner https://t.co/KIaIpzZIjX",timkaine,Tim Kaine,Virginia,Democratic
38,Fri May 12 12:17:07 +0000 2017,8.63005E+17,92,314,The country deserves a special prosecutor now to get to the bottom of Trump / Russia connections,timkaine,Tim Kaine,Virginia,Democratic
39,Fri May 12 12:16:30 +0000 2017,8.63005E+17,29,220,U.S. doesn't need a President undermining law enforcement or Trump Administration officials lying,timkaine,Tim Kaine,Virginia,Democratic
40,Fri May 12 12:15:20 +0000 2017,8.63005E+17,19,136,"Acting FBI director McCabe confirms Russia investigation ""highly significant.""",timkaine,Tim Kaine,Virginia,Democratic
41,Fri May 12 12:14:53 +0000 2017,8.63005E+17,180,1244,Trump admits he fired Comey over Russia investigation after 2 days of White House lies,timkaine,Tim Kaine,Virginia,Democratic
42,Thu May 11 21:55:43 +0000 2017,8.62788E+17,14,51,Great meeting @sashadigiulian today! A powerful role model &amp; advocate for the outdoors. Plus...she's a Virginian! https://t.co/H4bezAk5wf,timkaine,Tim Kaine,Virginia,Democratic
43,Thu May 11 21:20:10 +0000 2017,8.62779E+17,16,134,"After fighting for the release of this brave Virginian, it's an honor to meet with Aya Hijazi and welcome her and h… https://t.co/TUg5zDVX6Q",timkaine,Tim Kaine,Virginia,Democratic
44,Thu May 11 20:39:25 +0000 2017,8.62769E+17,158,950,The story keeps changing. Underscores the urgent need for special prosecutor &amp; Comey / Rosenstein / Sessions to tes… https://t.co/KnZr6eQTwq,timkaine,Tim Kaine,Virginia,Democratic
45,Thu May 11 19:13:21 +0000 2017,8.62747E+17,67,336,#Trumpcare would devastate American families. About to speak on the floor about why we need a meaningful Senate debate to #ProtectOurCare,timkaine,Tim Kaine,Virginia,Democratic
46,Wed May 10 21:11:54 +0000 2017,8.62415E+17,104,437,#Trumpcare undermines women's health care access. I stand with @NARAL against this terrible bill https://t.co/HK6x8zEo0r,timkaine,Tim Kaine,Virginia,Democratic
47,Wed May 10 17:21:50 +0000 2017,8.62357E+17,35,89,I'm looking forward to hearing from Virginian Michael Dunkley who will testify about his concerns with #Trumpcare #AmericaSpeaksOut,timkaine,Tim Kaine,Virginia,Democratic
48,Wed May 10 17:21:07 +0000 2017,8.62357E+17,82,95,How will #Trumpcare affect you?  Share your story using the hashtag #AmericaSpeaksOut,timkaine,Tim Kaine,Virginia,Democratic
49,Wed May 10 17:20:33 +0000 2017,8.62357E+17,22,75,Tune in LIVE at 2:30pm as @SenateDems hear from people across the U.S including VA who would be hurt by #Trumpcare https://t.co/9eUEBjPyV1,timkaine,Tim Kaine,Virginia,Democratic
50,Wed May 10 11:58:14 +0000 2017,8.62276E+17,172,462,Pattern is clear. Special prosecutor needed,timkaine,Tim Kaine,Virginia,Democratic
51,Wed May 10 11:57:47 +0000 2017,8.62275E+17,94,270,FBI Director Comey fired by Trump as bureau pursues investigation into Trump/Russia ties,timkaine,Tim Kaine,Virginia,Democratic
52,Wed May 10 11:57:20 +0000 2017,8.62275E+17,35,142,AG Sessions misleads Senate Committee about his contacts with Russia--has to recuse himself,timkaine,Tim Kaine,Virginia,Democratic
53,Wed May 10 11:56:51 +0000 2017,8.62275E+17,15,139,NSA Flynn fired by Trump once public reports surface about his extensive Russia contacts,timkaine,Tim Kaine,Virginia,Democratic
54,Wed May 10 11:56:29 +0000 2017,8.62275E+17,67,473,Deputy AG Yates fired by Trump after telling WH that NSA Flynn compromised by/lying about Russia,timkaine,Tim Kaine,Virginia,Democratic
55,Wed May 10 01:41:16 +0000 2017,8.6212E+17,82,314,Trump despidiendo a Comey demuestra el miedo de la Administración sobre la investigación de Rusia,timkaine,Tim Kaine,Virginia,Democratic
56,Tue May 09 22:22:09 +0000 2017,8.6207E+17,690,2409,Comey firing part of a growing pattern by White House to cover-up the truth,timkaine,Tim Kaine,Virginia,Democratic
57,Tue May 09 22:16:46 +0000 2017,8.62069E+17,784,5032,Comey firing recommended by Sessions. I thought he had recused himself from Russia investigation!,timkaine,Tim Kaine,Virginia,Democratic
58,Tue May 09 22:16:11 +0000 2017,8.62069E+17,1703,11405,Trump firing Comey shows how frightened the Admin is over Russia investigation,timkaine,Tim Kaine,Virginia,Democratic
59,Tue May 09 17:51:21 +0000 2017,8.62002E+17,13,122,"Teachers play a tremendous role in our children’s lives, just like the @RPS_Schools teachers who taught my kids! #NationalTeachersDay",timkaine,Tim Kaine,Virginia,Democratic
60,Tue May 09 16:45:27 +0000 2017,8.61985E+17,73,617,Trumpcare could make it harder for millions of veterans to afford health care. Proud to join @SenDuckworth to fight this disgraceful bill,timkaine,Tim Kaine,Virginia,Democratic
61,Tue May 09 16:44:56 +0000 2017,8.61985E+17,56,363,Nearly 800k veterans call Virginia home. I'll fight cuts to  veteran tax credits the GOP included in #Trumpcare b/c we should #CareForVets,timkaine,Tim Kaine,Virginia,Democratic
62,Mon May 08 16:18:09 +0000 2017,8.61616E+17,58,377,So glad French voters rejected Le Pen candidacy promoted by Russia &amp; American far-right. Resounding NO to nationali… https://t.co/6LmihcI1Tg,timkaine,Tim Kaine,Virginia,Democratic
63,Mon May 08 16:05:56 +0000 2017,8.61613E+17,235,534,President Trump's travel ban won’t make us safer. Hoping 4th Circuit rejects this cruel and unconstitutional religious test,timkaine,Tim Kaine,Virginia,Democratic
