,created_at,id_str,reply_count,retweet_count,text,user,name,state,party
0,Sun May 21 23:43:47 +0000 2017,8.66439E+17,10,51,Beautiful day at Multnomah Falls! 👌 https://t.co/Mb7r36GZkK,SenJeffMerkley,Jeff Merkley,Oregon,Republican
1,Sun May 21 20:08:14 +0000 2017,8.66385E+17,21,164,"If you have any anti-nausea medicine handy, you might take before reading this.  
https://t.co/538iO2VrJs",SenJeffMerkley,Jeff Merkley,Oregon,Republican
2,Sun May 21 17:13:24 +0000 2017,8.66341E+17,40,645,GOP is deliberately making insurance more expensive and harder to get. Reach out and make them explain how that ben… https://t.co/xznlTd7dMn,SenJeffMerkley,Jeff Merkley,Oregon,Republican
3,Sat May 20 21:49:56 +0000 2017,8.66048E+17,36,126,Rosenstein seemed not bothered at all to be—whether willing or duped—part of a scheme to mislead America about the… https://t.co/JIlVmnZ5zb,SenJeffMerkley,Jeff Merkley,Oregon,Republican
4,Sat May 20 18:05:16 +0000 2017,8.65992E+17,105,1187,I will oppose Joe Lieberman or any politician to head the FBI. We need to depoliticize the FBI.,SenJeffMerkley,Jeff Merkley,Oregon,Republican
5,Sat May 20 01:17:48 +0000 2017,8.65738E+17,8,73,"We ruff nurses! We must keep fighting to support our nurses and move our health care system forward, not backward.… https://t.co/1BhdRerQkt",SenJeffMerkley,Jeff Merkley,Oregon,Republican
6,Sat May 20 00:42:56 +0000 2017,8.6573E+17,12,113,TUNE IN: I’ll be on @TheLastWord @MSNBC with @Lawrence at 7:30pmPT/10:30pmET to discuss breaking news on Comey &amp; #TrumpRussia investigation.,SenJeffMerkley,Jeff Merkley,Oregon,Republican
7,Fri May 19 23:49:06 +0000 2017,8.65716E+17,33,280,"@realDonaldTrump Trump is refusing to pay back insurers for $$ already spent, just like he refused to pay contracto… https://t.co/w1Ul8twGlI",SenJeffMerkley,Jeff Merkley,Oregon,Republican
8,Fri May 19 23:48:04 +0000 2017,8.65716E+17,37,275,.@realDonaldTrump is already raising premiums and damaging markets even without #TrumpCare bill. Extremely reckless. https://t.co/hDSSFhsbSM,SenJeffMerkley,Jeff Merkley,Oregon,Republican
9,Fri May 19 21:35:10 +0000 2017,8.65682E+17,13,52,Kim from Springfield asks an excellent question. We must fight for affordable care for all and #VoteNoAHCA #SaveACA… https://t.co/8YvGtW57JD,SenJeffMerkley,Jeff Merkley,Oregon,Republican
10,Fri May 19 20:42:01 +0000 2017,8.65669E+17,25,248,Our President is bragging to a hostile foreign power about attempts to evade the rule of law by firing the FBI Director. #NotNormal,SenJeffMerkley,Jeff Merkley,Oregon,Republican
11,Fri May 19 20:40:46 +0000 2017,8.65669E+17,27,257,More crystal clear evidence that #ComeyFiring had everything to do with #TrumpRussia investigation https://t.co/GJyV4FqglO,SenJeffMerkley,Jeff Merkley,Oregon,Republican
12,Fri May 19 19:08:10 +0000 2017,8.65645E+17,1,9,"@NurseTeriA @VLeeUO Great to have Susan Bakewell-Sachs, Dean of @OHSUNursing here today. Thrilled to partner with y… https://t.co/aNHWkirhQQ",SenJeffMerkley,Jeff Merkley,Oregon,Republican
13,Fri May 19 18:48:40 +0000 2017,8.6564E+17,3,44,"@NurseTeriA @VLeeUO “If preventive care provided by the Affordable Care Act goes away, my patients are going to get… https://t.co/yEzH64fON4",SenJeffMerkley,Jeff Merkley,Oregon,Republican
14,Fri May 19 18:41:55 +0000 2017,8.65639E+17,10,67,"@NurseTeriA “I could not afford to live w/o #ACA. No person should ever go bankrupt for their health.” - @VLeeUO, w… https://t.co/VQsfWWg2YZ",SenJeffMerkley,Jeff Merkley,Oregon,Republican
15,Fri May 19 18:36:40 +0000 2017,8.65637E+17,5,33,"@NurseTeriA ""In days before #ACA, I was denied insurance b/c I had gone to a Dr. about a sore knee that turned out… https://t.co/8LNGGhcGcC",SenJeffMerkley,Jeff Merkley,Oregon,Republican
16,Fri May 19 18:29:02 +0000 2017,8.65635E+17,2,27,"- Dr. Krysta Schlis, pediatric oncologist at @OHSUDoernbecher https://t.co/shYqNUEi2t",SenJeffMerkley,Jeff Merkley,Oregon,Republican
17,Fri May 19 18:26:58 +0000 2017,8.65635E+17,2,19,"""Our pledge is to promote health, prevent illness, restore health &amp; alleviate suffering. This is NOT up for discuss… https://t.co/20aVejocfg",SenJeffMerkley,Jeff Merkley,Oregon,Republican
18,Fri May 19 18:25:08 +0000 2017,8.65634E+17,2,30,We’re going to make sure health care is truly a right in America and not a privilege reserved for the healthy and t… https://t.co/zWyyNTfKQ5,SenJeffMerkley,Jeff Merkley,Oregon,Republican
